"","Species","SE.m1.md","SE.m2.md","SE.m3.md","SE.m1.bl","SE.m2.bl","SE.m3.bl","m1.md","m2.md","m3.md","m1.bl","m2.bl","m3.bl","n"
"75","Macaca_sinica",0.00654671150123739,0.00883355100818093,0.0117387968186572,0.00916192746580648,0.00872557523509153,0.010663995900706,1.85878580981235,1.97281617069519,2.11730845359327,1.60729673577493,1.74193561401946,1.68422765593867,41
"76","Macaca_sylvanus",0.0213833476220086,0.0200837453440013,0.0249411733266198,0.00933002019427139,0.00828131266525376,0.00810317606330305,2.01690543356131,2.18795114212592,2.42740270875641,1.79105873319743,1.86627412150466,1.89524563915485,5
"77","Macaca_tonkeana",0.0102957700027113,0.00841713909442981,0.0186131577905333,0.0116297044979234,0.0113409052178963,0.0162265560334063,2.0798446780606,2.20075320052941,2.33919315493508,1.8346924435399,1.93443733064855,1.83739598478352,24
"78","Mandrillus_leucophaeus",0.0109429669862027,0.0111926781937213,0.0126726015888772,0.0106601166430722,0.0121921706300626,0.0132129219509007,2.33035776931207,2.51287178872777,2.7079284140977,2.0683452385416,2.28634802779395,2.28473369375358,43
"79","Mandrillus_sphinx",0.0237096883490798,0.0173884600270886,0.0227835941999257,0.026384962959965,0.0161248379603765,0.0241215666655127,2.32431888752583,2.51584727092736,2.70305164602176,2.05275879572765,2.26404196196142,2.24087467086518,11
"80","Papio_anubis",0.0147924305435093,0.0152230308593304,0.019159933393612,0.019829191060835,0.0209768402361155,0.0211021055565767,2.36664070677206,2.54631316983316,2.77553770258182,2.17011566141479,2.36104849099357,2.30660822156033,10
"81","Papio_cynocephalus",0.0190522432201642,0.017291058354494,0.0234372714772044,0.0182215507378618,0.0209708689357003,0.0211938906467463,2.30814579686116,2.46237177631911,2.70184339937094,2.09564564789207,2.23679111379956,2.23465504039964,15
"82","Papio_hamadryas",0.0123777082830745,0.00939752711666502,0.0128109286887093,0.00806816950559499,0.0115787975038907,0.0106893230333156,2.31949162395599,2.52451365421106,2.7604694749544,2.07052551725503,2.27686606336995,2.2344370539742,26
"83","Papio_papio",0.0169197671243824,0.0145851886498898,0.0232600078174463,0.0213043164126085,0.0482534238438639,0,2.39182552169805,2.54031383295815,2.78010037308909,2.16137047990888,2.33775327728925,2.26384426467762,2
"84","Papio_ursinus",0.0378513587199014,0.032957776260134,0.0369325398330043,0.0262125221393291,0.0254301613035084,0.0300456254815493,2.39654260469638,2.5790142386968,2.83625333615373,2.18951472363935,2.30748674915713,2.3329582733996,7
"85","Theropithecus_gelada",0.0138291055605265,0.0132824471113987,0.00919717772965763,0.00825707162512528,0.00861739528575649,0.00986954846742793,2.31477397629782,2.53933509126007,2.79178346905061,2.07526762305262,2.21722285088326,2.22166515776629,30
"86","Colobus_angolensis",0.00796430945041349,0.00684904747756552,0.00781761264248777,0.00706999432217227,0.00723871203601454,0.00860953787097523,1.95369338094798,2.01969142168084,2.21961976894097,1.71369571425185,1.8472496106276,1.7974803725074,35
"87","Colobus_guereza",0.00462202972902976,0.00646562895547003,0.00671486880728277,0.00648976353628491,0.00589199824320236,0.00611570837148915,2.0151423208836,2.08098419779688,2.32166096190761,1.79226955085243,1.9348091966289,1.88199241516572,45
"88","Colobus_polykomos",0.00553740408973473,0.00642924536592444,0.0098430588200718,0.00667400093298825,0.00683453356483306,0.00593720635793,1.98209236328262,2.00410068102936,2.22472060571399,1.77856721919341,1.8821979059463,1.84759745368664,50
"89","Colobus_satanas",0.0050992504507041,0.00480453512618386,0.00694036728242952,0.00648586811538584,0.00661126775276976,0.00701950697333628,1.95233067439103,1.94457671203201,2.14402123227261,1.77157868850202,1.86271164111284,1.81681155485478,45
